Customer_Gender,M,,,,,,
,,,,,,,
Row Labels,Sum of Revenue,Sum of Cost,Sum of CalculatedFeildDemo,Sum of Profit,,,
Australia,"$10,441,513","$7,108,374","$3,333,139","$3,333,139",,,
Canada,"$4,271,757","$2,228,143","$2,043,614","$2,043,614",,,
France,"$4,418,191","$2,927,449","$1,490,742","$1,490,742",,,
Germany,"$4,255,766","$2,664,008","$1,591,758","$1,591,758",,,
United Kingdom,"$5,359,889","$3,155,443","$2,204,446","$2,204,446",,,
United States,"$14,588,293","$8,764,760","$5,823,533","$5,823,533",,,
Grand Total,"$43,335,409","$26,848,177","$16,487,232","$16,487,232",,,
,,,,,,,
Sum of Revenue,Column Labels,,,,,,
Row Labels,2011,2012,2013,2014,2015,2016,Grand Total
Australia,"$2,529,914.00","$2,557,511.00","$4,107,470.00","$2,802,842.00","$5,712,339.00","$3,591,983.00","$21,302,059.00"
Canada,"$789,798.00","$835,527.00","$1,443,537.00","$1,471,522.00","$1,731,954.00","$1,663,400.00","$7,935,738.00"
France,"$946,624.00","$962,153.00","$1,431,870.00","$1,411,100.00","$1,877,928.00","$1,803,197.00","$8,432,872.00"
Germany,"$833,603.00","$835,188.00","$1,452,704.00","$1,702,508.00","$1,931,091.00","$2,223,502.00","$8,978,596.00"
United Kingdom,"$823,481.00","$834,885.00","$1,868,796.00","$2,014,044.00","$2,484,181.00","$2,620,809.00","$10,646,196.00"
United States,"$3,041,468.00","$3,150,719.00","$4,935,660.00","$4,750,708.00","$6,286,498.00","$5,810,494.00","$27,975,547.00"
Grand Total,"$8,964,888.00","$9,175,983.00","$15,240,037.00","$14,152,724.00","$20,023,991.00","$17,713,385.00","$85,271,008.00"
